id,fin_year,month,state_code,state_name,district_code,district_name,report_date,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
231,2023-2024,Aug,31,UTTAR PRADESH,3110,MORADABAD,2023-08-01,1928150,222.988424358522,31,153,1362.713985666,2498,3,17634,1893908,377086,38660,1326,132,31.54551,5617.455103666,59748,69657,133030,178967,159,174423,257797,20132,4223.195608,538352,28,57.53,15.18,101.49,
232,2023-2024,Aug,31,UTTAR PRADESH,3116,GHAZIABAD,2023-08-01,1,358.216494845361,12,0,0,0,143,30,97,3,17,0,0,0,0.34747,8,8,40,52,0,14794,24177,30,0.34747,0,26,100,0,100,
233,2023-2024,Aug,31,UTTAR PRADESH,3126,PILIBHIT,2023-08-01,1920377,225.005477774745,28,388,2568.454263089,3347,2,29957,1920068,283582,48366,4646,611,92.31072,6981.023160089,68483,82126,171573,255993,75,211720,312438,33304,4320.258177,767177,54,19.24,20.98,100.23,
234,2023-2024,Aug,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2023-08-01,2064442,217.82146580341,29,361,2037.479471646,2425,1,47953,2064431,577773,85503,914,96,197.91891,6732.172246346,70963,85402,205622,279417,74,274992,375695,50378,4496.7738647,639360,58,19.52,20.67,101.33,
235,2023-2024,Aug,31,UTTAR PRADESH,3129,SITAPUR,2023-08-01,6218965,226.481527673594,37,770,7743.08706313199,12670,4,78373,6218979,2107834,247404,4610,382,277.01922,22104.944928032,165051,205448,417610,600972,1290,556169,793830,91043,14084.8386449,2169715,61,27.89,24.45,102.92,
236,2023-2024,Aug,31,UTTAR PRADESH,3150,SULTANPUR,2023-08-01,4537653,214.143354060702,43,231,5636.233685048,4180,5,52713,4537479,1091559,74605,9134,446,192.32458,15545.267985448,103853,112069,219759,257476,988,272490,321829,56893,9716.7097204,2382544,63,24.7,21.21,103.15,
237,2023-2024,Aug,31,UTTAR PRADESH,3152,MAHARAJGANJ,2023-08-01,4271527,226.325606629099,32,399,8537.530284486,8473,0,45889,4271531,972049,90364,23241,2105,154.63949,18359.738222586,131786,157112,277266,399341,941,343049,499030,54362,9667.5684481,2095501,48,30.86,28.94,100.05,
238,2023-2024,Aug,31,UTTAR PRADESH,3153,BASTI,2023-08-01,8159416,223.051461389704,43,234,11979.440779868,8784,19,45340,8159391,2148450,108714,406,12,212.47246,30391.554105868,187446,213261,318979,399976,1600,382754,510950,54124,18199.640866,4169426,36,39.82,35.17,101.09,
239,2023-2024,Aug,31,UTTAR PRADESH,3154,GORAKHPUR,2023-08-01,4281338,225.735744538372,41,137,4856.923997675,4788,9,39152,4281324,1463933,100654,6440,366,210.07874,14731.481345175,102950,112226,236331,289107,855,320161,384567,43940,9664.4786075,2018580,41,27.79,42.55,99.89,
240,2023-2024,Aug,31,UTTAR PRADESH,3158,JAUNPUR,2023-08-01,7064032,215.244422021997,39,267,6250.106872255,7491,14,76516,7061376,2452456,140118,506,5,250.93822,21700.263050255,178544,185867,341365,372309,1032,434490,478857,84007,15199.217958,3706161,56,30.8,30.52,100.51,
241,2023-2024,Aug,31,UTTAR PRADESH,3159,BALLIA,2023-08-01,3208219,224.6734123989,39,104,3007.177101507,12619,10,39689,3205736,581632,57390,109058,9496,174.05401,10383.667575207,81820,90432,194747,242150,296,267810,339080,52308,7202.4364637,1702841,56,30.75,25.74,100.03,
242,2023-2024,Aug,31,UTTAR PRADESH,3162,MIRZAPUR,2023-08-01,2591297,213.557731806308,35,135,3017.078243395,6595,1,32809,2591269,987323,129188,26925,3231,127.33676,8678.270304795,73830,94429,201986,300906,411,259620,394604,39404,5533.8553014,1307684,56,37.56,14.35,99.98,
243,2023-2024,Aug,31,UTTAR PRADESH,3165,BAGHPAT,2023-08-01,24675,198.130658561297,18,4,0.823520358,3,24,2149,24675,6786,2250,7,13,1.5545,51.266760358,1345,1525,5593,7196,2,16537,23411,2152,48.88874,7971,10,74.55,4.23,110.93,
244,2023-2024,Aug,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2023-08-01,4463577,222.380376603575,39,130,7056.710879085,4855,14,51251,4461827,1493465,84018,3856,215,141.29673,17120.235295085,112619,123806,201607,241000,653,233195,276653,56106,9922.227686,2486388,58,28.97,33.81,100.03,
245,2023-2024,Aug,31,UTTAR PRADESH,3176,SHRAVASTI,2023-08-01,1892264,229.896755949487,45,129,1537.837204086,2066,0,16847,1892264,495788,38133,15890,1203,44.26707,5932.357824086,41732,50001,92976,130190,642,114024,165883,18913,4350.25355,797898,47,45.91,20.32,100.4,
246,2023-2024,Aug,31,UTTAR PRADESH,3180,KASHGANJ,2023-08-01,1587392,217.00143275889,31,320,2312.907473032,1343,1,11621,1587392,348528,30380,1574,94,68.9466,5826.517456532,50598,58463,96001,132497,136,109856,153435,12964,3444.6633835,422901,24,45.49,13.86,100.55,
247,2023-2024,Aug,31,UTTAR PRADESH,3182,HAPUR,2023-08-01,171631,218.059667471172,33,9,0,184,3,1687,171534,86054,5037,10,7,0,374.04647,5059,5471,10362,11398,45,15663,21310,1871,374.04647,71701,12,37.66,13.49,100.51,
248,2023-2024,Aug,31,UTTAR PRADESH,3184,SAMBHAL,2023-08-01,1300450,217.883031000685,28,182,2052.422604724,2958,10,20263,1333906,348626,41203,382,41,95.4159,5054.193328224,47513,53860,107069,135507,187,135314,211335,23221,2906.3548235,373123,22,53.87,9.56,101.98,
249,2023-2024,Aug,31,UTTAR PRADESH,3119,MATHURA,2023-08-01,1682856,217.021502906358,33,77,2220.293386578,1654,23,15573,1682174,470019,43568,2747,299,50.60362,5921.576302878,50414,62352,105352,142728,167,129808,189305,17227,3650.6792963,667931,11,50.03,23.53,99.73,
250,2023-2024,Aug,31,UTTAR PRADESH,3120,AGRA,2023-08-01,3354833,218.974913851347,41,216,2133.874223698,2029,1,23388,3345032,945846,56793,14783,848,113.31568,9571.970843998,80147,101614,134094,185951,1278,167282,234007,25417,7324.7809403,1322239,41,51.88,20.8,100.37,
251,2023-2024,Aug,31,UTTAR PRADESH,3121,FIROZABAD,2023-08-01,2585975,209.354607765821,41,131,3071.792085583,2622,8,20077,2594394,722503,32837,2254,131,66.80105,8570.076518183,62832,65856,102735,112165,356,130308,160760,22699,5431.4833826,1080178,31,50.09,20.51,99.89,
252,2023-2024,Aug,31,UTTAR PRADESH,3122,ETAH,2023-08-01,1870050,218.075337284948,36,112,2247.030942617,4752,3,18253,1869784,344663,25736,516,45,81.56741,6406.136117117,50566,56187,99572,124062,298,132098,183019,23005,4077.5377645,658026,36,36.44,28.3,101.42,
253,2023-2024,Aug,31,UTTAR PRADESH,3125,BAREILLY,2023-08-01,2319478,226.399746533865,27,859,1262.81556968,4448,3,37292,2319442,483221,68106,1568,165,107.67066,6621.69703868,85436,103123,215350,300798,286,259268,359700,41740,5251.210809,563765,45,42.68,18.42,101.63,
254,2023-2024,Aug,31,UTTAR PRADESH,3131,UNNAO,2023-08-01,2322415,217.86644278711,36,152,1586.672118,5119,1,32353,2319923,766371,86510,2592,382,107.88175,6748.8875835,63552,70288,179349,225984,402,240326,308439,37472,5054.3337155,858439,45,22.62,42.16,104.18,
255,2023-2024,Aug,31,UTTAR PRADESH,3132,LUCKNOW,2023-08-01,716137,222.259657020933,29,105,1349.883743982,1270,5,15774,716137,432113,72832,2052,322,88.24356,3029.810943982,24111,28159,79952,112951,54,126792,200594,17044,1591.68364,252812,36,28.23,16.25,101.77,
256,2023-2024,Aug,31,UTTAR PRADESH,3133,RAE BARELI,2023-08-01,2309755,213.266147222488,29,199,6097.588381885,13111,2,36501,2309783,1000377,168401,1061,246,200.70787,11224.281465185,77317,92477,228894,343719,306,293278,437059,49612,4925.9852133,1065974,43,23.7,21.21,100.53,
257,2023-2024,Aug,31,UTTAR PRADESH,3135,ETAWAH,2023-08-01,1310090,216.060808303192,32,100,1361.939677594,2225,0,17184,1309954,452755,45988,1554,149,62.35439,4254.591268394,40408,44941,101878,124181,280,123992,169955,19409,2830.2972008,368994,35,27.47,28.63,100.59,
258,2023-2024,Aug,31,UTTAR PRADESH,3136,KANPUR DEHAT,2023-08-01,1204881,214.924027405995,29,177,1248.532261483,5808,2,23236,1204408,480074,58756,926,145,63.94561,3901.040051483,40187,46839,106658,141073,158,142840,191181,29044,2588.56218,389654,51,37.94,16.67,100.48,
259,2023-2024,Aug,31,UTTAR PRADESH,3137,KANPUR NAGAR,2023-08-01,804558,219.452405858468,30,177,417.011637215,1332,0,18112,804852,296314,43081,8567,1128,65.30485,2248.583564815,26372,30432,73343,101502,90,106249,145079,19444,1766.2670776,253119,42,36.14,21.31,103.07,
260,2023-2024,Aug,31,UTTAR PRADESH,3140,LALITPUR,2023-08-01,2657620,221.230155052265,37,173,4330.713461005,6545,0,29819,2657620,556700,63592,165697,18982,92.50384,10302.674147705,71194,99488,147998,246107,1067,177547,302806,36364,5879.4568467,1161553,65,27.87,24.53,100.54,
261,2023-2024,Aug,31,UTTAR PRADESH,3147,GONDA,2023-08-01,3016566,222.215768522883,38,121,2469.308639107,4756,16,41479,3016566,748518,63441,2350,223,106.5954,9279.189359007,77973,84067,207301,238336,312,299374,380854,46235,6703.2853199,1451910,52,26.8,29.52,100.52,
262,2023-2024,Aug,31,UTTAR PRADESH,3149,AYODHYA,2023-08-01,2206822,221.321929134269,33,86,4974.980257102,5891,0,26327,2206793,795923,93239,3067,360,123.63534,9982.73243670201,65156,72218,176737,242554,406,225614,305672,32218,4884.1168396,1067689,38,30.76,27.36,100.14,
263,2023-2024,Aug,31,UTTAR PRADESH,3161,VARANASI,2023-08-01,1381558,220.382744667113,31,175,1181.088776264,3556,0,25546,1381428,400662,56467,7297,1044,61.22406,4286.741778264,43249,54692,102625,155831,214,140164,231430,29102,3044.428942,760976,59,24.7,14.91,100.61,
264,2023-2024,Aug,31,UTTAR PRADESH,3168,KANNAUJ,2023-08-01,1521490,212.721295835004,32,130,945.625726264,1884,4,23004,1521490,440863,44768,73,3,79.45196,4261.610930264,46983,51722,101764,128283,211,126819,172024,24888,3236.533244,388877,44,38.44,19.19,101.28,
265,2023-2024,Aug,31,UTTAR PRADESH,3111,RAMPUR,2023-08-01,2113043,216.527281137729,35,172,4351.15279578701,3320,5,19563,2112630,429084,37635,757,63,77.63135,9003.20444528701,58782,65902,124253,151821,417,153371,192077,22883,4574.4202995,487471,27,29.62,27.82,104.25,
266,2023-2024,Aug,31,UTTAR PRADESH,3118,ALIGARH,2023-08-01,1888811,218.545759493436,28,151,2581.978790339,2456,3,24661,1888647,466111,44984,2295,244,68.51896,6778.055680639,66937,74270,146544,177077,220,181526,237269,27117,4127.5579303,512246,24,44.24,30.59,99.95,
267,2023-2024,Aug,31,UTTAR PRADESH,3124,BUDAUN,2023-08-01,1653320,212.344817961937,29,234,1284.552662936,2822,14,36660,1651715,338615,41511,1511,180,102.03776,4893.921632936,55670,61410,163325,196354,84,211269,261299,39482,3507.33121,489281,48,44.49,9.81,100.46,
268,2023-2024,Aug,31,UTTAR PRADESH,3138,JALAUN,2023-08-01,5902874,211.572237216112,47,547,3288.471783502,6110,1,28047,5901589,1768810,89744,498,11,125.27593,15899.871592102,123619,166675,180880,267946,2463,205441,347689,34157,12486.1238786,2242179,42,20.79,48.71,100.58,
269,2023-2024,Aug,31,UTTAR PRADESH,3139,JHANSI,2023-08-01,3118939,215.071125728974,50,275,2362.609584334,2540,2,27921,3118939,972228,73362,26686,1747,84.49884,9155.045642434,61874,86600,132945,210272,2390,163531,259093,30461,6707.9372181,1269256,53,33.36,27.48,100.48,
270,2023-2024,Aug,31,UTTAR PRADESH,3143,FATEHPUR,2023-08-01,2820072,215.422588032496,37,285,2290.137065756,5117,8,46888,2819953,902820,91346,1573,93,200.92347,8565.876269656,75477,83832,184246,230585,330,243088,315217,52005,6074.8157339,1357819,68,27.52,12.96,100.48,
271,2023-2024,Aug,31,UTTAR PRADESH,3156,MAU,2023-08-01,3153553,227.997946651645,36,247,4351.55531390001,5382,12,23451,3152787,1086402,85049,46011,3242,143.46463,11683.3095662,86028,97018,187911,237766,334,243851,316037,28833,7188.28962230001,1670717,43,27.71,36.45,100.12,
272,2023-2024,Aug,31,UTTAR PRADESH,3170,KAUSHAMBI,2023-08-01,1356337,220.9234277551,33,117,3278.606465664,1947,46,24055,1355196,582908,69171,1292,96,65.51738,6338.069301664,40462,48027,105329,146575,206,132700,183139,26002,2993.945456,666857,63,27.71,44.54,101.38,
273,2023-2024,Aug,31,UTTAR PRADESH,3172,KUSHI NAGAR,2023-08-01,3061778,230.130378157587,31,349,4503.027240648,8381,5,40887,3061713,778741,84876,20332,2048,199.59143,11748.550375648,95759,114494,230704,313247,159,344032,467979,49268,7045.931705,1261648,41,40.86,14.56,101.71,
274,2023-2024,Aug,31,UTTAR PRADESH,3177,CHITRAKOOT,2023-08-01,1561650,213.076920308648,38,62,1873.842484353,2243,7,24346,1561650,581472,76077,289,30,106.97238,5308.330590353,41044,55009,109455,177295,683,131199,247212,26589,3327.515726,729031,74,40.36,6.47,100.01,
275,2023-2024,Aug,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,2023-08-01,2475470,211.30215113611,34,117,4392.193564148,3510,2,53292,2477621,838339,95064,5280,535,172.37498,9799.835014148,72029,82080,182980,241746,301,234002,310217,56802,5235.26647,1263823,56,36.99,24.76,100.45,
276,2023-2024,Aug,31,UTTAR PRADESH,3181,AMETHI,2023-08-01,2372982,218.516477904621,36,111,3468.020578445,9225,0,38836,2372917,642398,71830,106,2,140.31959,8793.554820445,65166,75955,168668,228616,317,216292,310558,48061,5185.214652,1021218,61,24.7,23.89,101.59,
277,2023-2024,Aug,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,2023-08-01,502870,210.318236327467,30,33,310.115283563,647,5,8200,498664,144446,15118,738,118,12.46193,1371.358543563,16119,17930,44420,50930,98,75350,99060,8847,1048.78133,192799,19,36.98,45.62,105.46,
278,2023-2024,Aug,31,UTTAR PRADESH,3117,BULANDSHAHR,2023-08-01,432776,214.529330076875,26,22,657.6473269,235,48,11653,432781,70699,11247,162,60,9.62408,1595.7135869,16135,17103,51094,57345,37,72131,84219,11888,928.44218,145670,22,45.51,30.77,101.1,
279,2023-2024,Aug,31,UTTAR PRADESH,3128,KHERI,2023-08-01,4336646,217.312160775862,34,475,4905.197889019,11931,2,54061,4336646,1417844,184174,64026,8800,189.83926,14519.096276819,124386,150568,341423,478312,1062,448933,624715,65992,9424.0591278,1263064,55,32.62,18.84,100.15,
280,2023-2024,Aug,31,UTTAR PRADESH,3134,FARRUKHABAD,2023-08-01,1336117,216.885415723324,35,57,2070.579585,1651,8,22833,1336117,287713,24660,0,1,82.07897,5050.501465,37837,40534,86780,98951,295,107431,123797,24484,2897.84291,365092,44,34.18,28.09,100.21,
281,2023-2024,Aug,31,UTTAR PRADESH,3141,HAMIRPUR,2023-08-01,2598420,213.788189158815,43,129,2028.759409797,2082,0,23373,2598240,491641,49062,458,60,72.66902,7656.158675797,59524,83073,128687,208627,1448,159387,269183,25455,5554.730246,1122827,58,48.6,18.59,101.27,
282,2023-2024,Aug,31,UTTAR PRADESH,3146,BAHRAICH,2023-08-01,7278165,221.163045100863,45,193,4231.831426933,10411,10,79695,7276823,1447566,85641,47857,2325,388.99643,20714.471190333,159068,184584,298850,372765,3979,372099,479148,90106,16093.6433334,3360068,66,30.06,14.66,100.42,
283,2023-2024,Aug,31,UTTAR PRADESH,3148,BARABANKI,2023-08-01,4468918,224.657050450428,40,271,6840.469083588,6682,1,42268,4468862,1841222,151291,580,60,192.8202,17072.902841488,111355,131054,251920,339123,1083,348912,468840,48950,10039.6135579,1611651,44,22.05,33.07,100.03,
284,2023-2024,Aug,31,UTTAR PRADESH,3157,AZAMGARH,2023-08-01,5505949,221.100009977602,38,263,5913.07790957401,10461,15,79392,5505331,1963351,147261,11822,755,289.20748,18374.572779874,144001,154270,324933,375426,407,414236,498391,89853,12172.2873903,2738187,62,18.95,35.72,100.92,
285,2023-2024,Aug,31,UTTAR PRADESH,3163,SONBHADRA,2023-08-01,3011277,224.093220617568,35,408,3290.25025754101,6539,4,48357,3011587,902745,94385,833187,91400,133.72605,10172.738607541,84039,112078,203738,310962,888,253240,402089,54896,6748.7623,1587046,73,34.7,26.41,100.18,
286,2023-2024,Aug,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,2023-08-01,4174,178.195016770484,13,1,0,0,43,262,4174,1305,348,58,15,0,7.43786,301,310,897,996,0,11326,18384,262,7.43786,887,12,89.14,4.75,137.82,
287,2023-2024,Aug,31,UTTAR PRADESH,3169,AURAIYA,2023-08-01,1178639,211.943322871804,31,40,1626.167284588,3404,3,15001,1178604,504530,47384,4866,379,77.71864,4201.858405688,37099,41513,86284,108332,80,116113,160306,18405,2497.9724811,316873,37,40.66,7.11,100.76,
288,2023-2024,Aug,31,UTTAR PRADESH,3171,CHANDAULI,2023-08-01,3419434,220.288819453217,42,200,3212.760306271,7004,8,25332,3419568,955185,68494,18084,1058,143.22104,10888.907323871,81355,107099,146840,218359,1268,172933,274981,32336,7532.9259776,1355062,40,51.1,19.29,109.21,
289,2023-2024,Aug,31,UTTAR PRADESH,3175,BALRAMPUR,2023-08-01,2978803,224.20579925225,39,104,4263.235499804,4173,6,24840,2978803,761003,42771,50883,3361,180.68334,11122.567914104,75364,83182,142904,169964,624,171580,232060,29013,6678.6490743,1265277,43,49.13,14.77,101.08,
290,2023-2024,Aug,31,UTTAR PRADESH,3179,MAHOBA,2023-08-01,939653,218.110469503104,44,34,1928.021575855,2384,1,14272,939653,181222,32525,870,122,56.7089,4034.212045855,20976,29508,60811,109409,633,78094,137851,16656,2049.48157,380834,62,42.79,15.41,100.45,
291,2023-2024,Aug,31,UTTAR PRADESH,3109,BIJNOR,2023-08-01,2213567,217.071040841167,21,225,2172.987904766,4076,9,26396,2213306,847023,125221,7014,918,113.30459,7090.738865966,105242,126280,207645,294076,220,249723,366770,30472,4804.4463712,677877,30,43.42,17.96,100.5,
292,2023-2024,Aug,31,UTTAR PRADESH,3112,SAHARANPUR,2023-08-01,921280,218.798293623564,20,112,1164.394511672,1081,3,20414,921016,439012,83093,2109,295,41.09605,3220.657853672,44098,51096,111112,159949,46,159325,223474,21495,2015.167292,365309,28,51.08,18.39,101.18,
293,2023-2024,Aug,31,UTTAR PRADESH,3115,MEERUT,2023-08-01,385901,207.660317703434,33,18,376.667869655,421,14,6964,385863,173961,14450,1282,159,3.08557,1181.037771355,11435,12457,27944,32923,4,44387,65213,7385,801.2843317,148730,18,65.06,4.28,101.31,
294,2023-2024,Aug,31,UTTAR PRADESH,3123,MAINPURI,2023-08-01,2335029,216.974258719598,36,143,1351.909865396,3134,3,24066,2334798,609420,49398,3506,336,81.51814,6499.338658496,63122,73813,137129,177707,630,181436,242767,27200,5065.9106531,852851,42,41.74,18.02,99.92,
295,2023-2024,Aug,31,UTTAR PRADESH,3130,HARDOI,2023-08-01,4517849,219.256366744155,36,234,4530.368570279,7788,4,59684,4517678,1510919,121076,5565,468,245.42707,14681.092284279,123096,134389,284318,342289,342,387491,528232,67472,9905.296644,1202341,46,26.58,23.32,103.95,
296,2023-2024,Aug,31,UTTAR PRADESH,3142,BANDA,2023-08-01,2248665,215.451657503452,39,76,1234.59092677,6096,2,48413,2248665,439173,68981,42,26,98.38448,6177.76142097,57237,76755,162997,262972,631,208607,349436,54509,4844.7860142,1143607,82,39.25,15.6,101.21,
297,2023-2024,Aug,31,UTTAR PRADESH,3144,PRATAPGARH,2023-08-01,4007644,205.230999352737,41,158,2858.634094827,10036,29,58981,4007644,1452380,110102,10342,568,191.15401,11274.715936527,97182,101883,238441,270869,923,313881,368778,69017,8224.9278317,2165300,58,31.22,16.65,103.45,
298,2023-2024,Aug,31,UTTAR PRADESH,3145,PRAYAGRAJ,2023-08-01,4146291,220.778826250853,38,225,4459.08268805,13076,5,66990,4143134,1627470,197965,1925,190,223.26975,13829.51505325,106729,131071,298699,420267,761,406303,575636,80066,9147.1626152,2132294,65,20.81,25.29,101.98,
299,2023-2024,Aug,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,2023-08-01,6962062,228.158112204116,39,252,9268.880374555,5518,11,33574,6960832,1615262,83191,219,14,249.50406,25400.087319455,178238,195660,304639,357135,1004,368691,437025,39092,15881.7028849,3893692,22,22.22,32.15,100.05,
300,2023-2024,Aug,31,UTTAR PRADESH,3155,DEORIA,2023-08-01,2508710,223.670695317054,37,121,2158.75727594,5392,60,28002,2508122,571021,44174,83469,6324,168.06229,7936.75348274,66537,70557,155735,177533,601,200599,233312,33394,5609.9339168,1037813,28,43.2,28.08,99.9,
301,2023-2024,Aug,31,UTTAR PRADESH,3160,GHAZIPUR,2023-08-01,5658316,218.130215684473,34,217,5182.468327649,6679,2,52620,5650059,1302934,112833,54291,3893,196.6526,17703.606810649,163356,189865,323400,427327,669,406520,536786,59299,12324.485883,2582147,56,40.38,30.28,99.87,
302,2023-2024,Aug,31,UTTAR PRADESH,3166,HATHRAS,2023-08-01,763892,211.283331771033,27,27,619.216182823,1360,13,10734,763831,247462,27898,869,63,47.95533,2281.019098723,27560,31964,64448,84429,67,75456,103350,12094,1613.8475859,166977,13,64.35,9.65,100.33,
303,2023-2024,Aug,31,UTTAR PRADESH,3167,AMROHA,2023-08-01,2259539,215.749610129765,34,124,2993.305286694,3732,1,15371,2259085,541398,45095,1112,62,98.88768,7966.160046694,64724,76556,119098,165162,569,142974,199562,19103,4873.96708,593174,25,34.4,56.5,100.15,
304,2023-2024,Aug,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,2023-08-01,1242796,225.424369727614,37,39,1325.831234501,1195,13,22765,1242796,420732,43377,3519,356,87.2427,4214.638984501,33554,39424,81199,109305,77,102933,150953,23960,2801.56505,744400,67,21.31,28.24,100.37,
305,2023-2024,Aug,31,UTTAR PRADESH,3183,SHAMLI,2023-08-01,183242,205.845808599197,29,7,61.3889559,297,2,4918,187157,32699,4462,583,48,2.14279,448.7865859,6322,7322,21275,26176,6,42466,56852,5215,385.25484,61502,15,27.96,32.93,99.8,
306,2023-2024,Sep,31,UTTAR PRADESH,3111,RAMPUR,2023-09-01,2313885,219.892007748527,37,184,4714.97318065101,3602,5,19700,2313472,472744,37714,824,63,77.63135,9879.74456015101,62516,70175,124504,152107,573,153724,192413,23302,5087.1400295,541077,28,28.51,26.62,104.27,
307,2023-2024,Sep,31,UTTAR PRADESH,3115,MEERUT,2023-09-01,530084,192.141473675273,38,24,472.85302641,677,8,7134,530015,233445,14474,3137,159,3.08557,1494.31722811,13912,15288,28049,33034,50,44634,61013,7811,1018.3786317,205284,21,62.51,7.63,100.91,
308,2023-2024,Sep,31,UTTAR PRADESH,3118,ALIGARH,2023-09-01,2210720,218.491290279094,30,170,2850.359954896,3227,1,24271,2210545,539263,45015,2667,245,68.51896,7748.727207596,71416,79589,146852,177432,552,181900,225183,27498,4829.8482927,602423,24,44.24,30.34,99.92,
309,2023-2024,Sep,31,UTTAR PRADESH,3120,AGRA,2023-09-01,3664505,221.589337764079,44,228,2520.496901171,2491,1,23376,3653260,1036322,56857,15854,848,113.31568,10729.047221971,82551,104893,134281,186185,2826,167569,233402,25867,8095.2346408,1443644,42,51.87,20.43,100.51,
310,2023-2024,Sep,31,UTTAR PRADESH,3134,FARRUKHABAD,2023-09-01,1598483,212.839079927656,38,73,2146.6966277,2217,8,22698,1598483,342884,24793,0,1,82.07897,5630.9721077,41513,44612,87092,99305,572,107818,123831,24915,3402.19651,444873,45,34.51,29.56,100.25,
311,2023-2024,Sep,31,UTTAR PRADESH,3135,ETAWAH,2023-09-01,1521061,218.603603969719,35,107,1484.539280138,2815,0,16885,1520712,524242,46009,1798,150,62.35439,4871.224908138,43085,48133,101969,124275,662,124140,160958,19700,3324.331238,426231,35,27.64,27.36,100.56,
312,2023-2024,Sep,31,UTTAR PRADESH,3136,KANPUR DEHAT,2023-09-01,1449504,216.156498377191,33,198,1372.348451083,6105,2,23222,1449031,581336,58840,1193,145,63.94561,4568.468731083,43599,51093,106907,141342,323,143166,190785,29327,3132.17467,467133,52,39.1,16.41,100.56,
313,2023-2024,Sep,31,UTTAR PRADESH,3144,PRATAPGARH,2023-09-01,4715921,212.138785244706,44,177,3366.971316471,13797,29,56213,4715921,1716309,110232,12534,568,191.15401,13562.422848971,105054,110310,239090,271530,2022,314760,367783,70010,10004.2975225,2530073,58,32.04,16.93,103.25,
314,2023-2024,Sep,31,UTTAR PRADESH,3153,BASTI,2023-09-01,8686554,223.00173702041,45,241,12347.979722213,10864,17,44285,8686484,2280976,108750,406,12,212.47246,31931.462388213,192423,219388,319133,400158,2351,382985,506687,55149,19371.010206,4444630,36,39.35,32.96,101.29,
315,2023-2024,Sep,31,UTTAR PRADESH,3155,DEORIA,2023-09-01,2678334,224.924838421033,38,124,2738.38179944,7065,60,26627,2677700,611045,44199,88796,6327,168.06229,8929.25648784,69248,73496,155877,177684,1170,200817,232191,33692,6022.8123984,1108844,28,41.8,27.1,99.88,
316,2023-2024,Sep,31,UTTAR PRADESH,3159,BALLIA,2023-09-01,3496991,224.631247993461,40,113,3229.958189414,14348,8,38418,3494201,633653,57404,118595,9498,174.05401,11253.079513114,85377,94480,194831,242245,480,267991,337608,52766,7849.0673137,1852315,56,30.53,24.66,100.04,
317,2023-2024,Sep,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,2023-09-01,5639,146.706153573329,15,1,0,0,34,262,5639,1852,348,104,15,0,8.27276,365,376,897,996,0,11326,17561,262,8.27276,1190,12,92.9,3.11,132.77,
318,2023-2024,Sep,31,UTTAR PRADESH,3169,AURAIYA,2023-09-01,1406705,212.41233553125,34,49,1830.990269768,3623,2,15248,1406635,594529,47492,5761,382,77.71864,4896.575165668,40512,45561,86551,108660,209,116608,157568,18871,2987.8662559,384483,37,40.73,7.05,100.68,
319,2023-2024,Sep,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,2023-09-01,2927846,209.576088814729,37,129,4681.46192617,4663,1,52484,2930595,969843,95127,6456,536,172.37498,10995.66328617,78665,90246,183284,242096,631,234444,309600,57147,6141.82638,1504846,56,35.87,23.81,100.59,
320,2023-2024,Sep,31,UTTAR PRADESH,3179,MAHOBA,2023-09-01,1079671,215.461123805307,46,59,2026.75813306,2815,1,14253,1079671,210192,32542,1001,122,56.7089,4409.73830306,23070,32677,60888,109508,998,78197,137717,17068,2326.27127,434749,63,44.34,14.69,100.73,
321,2023-2024,Sep,31,UTTAR PRADESH,3184,SAMBHAL,2023-09-01,1493930,212.611065259136,29,199,2254.464284659,3558,9,20059,1537823,400484,41273,496,41,95.4159,5619.462046759,51649,58914,107362,135841,375,135776,184140,23617,3269.5818621,431070,22,52.59,9,102.36,
322,2023-2024,Sep,31,UTTAR PRADESH,3112,SAHARANPUR,2023-09-01,1170270,207.165258033772,24,125,1204.643875472,1389,3,20867,1169905,558676,83173,2507,299,41.09605,3669.376637472,48489,56824,111308,160237,226,159588,223000,22256,2423.636712,459484,29,51.34,19.05,101.24,
